video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6TZye-behRA&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@tryguys,The Try Guys,Keith Eats Everything At Pike Place Market,2.2M,8 months,"Keith's back to eat the menu, but this time, it's at Pike Place Market in Seattle, Washington! What will rank as the best of the best ...",2024-03-14 12:14:39.947113
/watch?v=Zb7U7BWL-Eo&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@scottsdaletravelchick,Scottsdale Travel Chick,"Pike Place Market Visitor Guide - What to See, Do, and Eat",54K,2 years,"Tour guide to the famous Pike Place Market in downtown Seattle. What to see, what to do, and what to eat. Want to Experience ...",2024-03-14 12:14:39.949753
/watch?v=KKcQnqVYZkY&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@PortMonkeys,Port Monkeys,"Fish Throwing at Pike Place Fish Market in Seattle, Washington",40K,2 years,"We walked to Pike Place in Seattle, Washington before boarding the Carnival Miracle for an Alaska cruise.",2024-03-14 12:14:39.959597
/watch?v=TvfePq94NUg&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@MarkWiens,Mark Wiens,Pike Place Market - AMERICA'S #1 CHOWDER + Must-Eat Market Tour in Seattle | American Food!,1.6M,5 years,"Pike Place Market is a landmark of #Seattle, and one of the oldest continuously functioning markets in the United States.",2024-03-14 12:14:39.965648
/watch?v=FkABoOKsXIA&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@LocalLensSeattle,Local Lens Seattle,Hidden Gems at Pike Place Market!☀️ 🙌🏼 | Local Lens Seattle,18K,10 months,"If you've been to Seattle, you've probably made the stop at the iconic Pike Place Market. Having lived here my entire life I still love ...",2024-03-14 12:14:39.973084
/watch?v=Rmf6oLBZkJ0&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@LaoOcean,Lao Ocean,Seattle Pike Place Market | Seattle Waterfront Visual Update | Walk & Talk 1-28-24 ☕️✌️,3.4K,1 month,"First visit to Pike Place Market in 2024. After coffee at Anchorhead Coffee, Amanda and I stroll the market and see what changes ...",2024-03-14 12:14:39.979653
/watch?v=82byORQyTVw&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@ArwinTours,Arwin Tours,Pike Place Market 🇺🇸 Seattle Washington 4K Walking Tour,16K,1 year,"Pike Place Market is a public market in Seattle, Washington, United States. It opened on August 17, 1907, and is one of the oldest ...",2024-03-14 12:14:39.981384
/watch?v=jgrr5-WZICs&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@fox13seattle,FOX 13 Seattle,Pike Place Market suing iconic fish throwers | FOX 13 Seattle,13K,6 months,Pike Place Market is in a legal battle with its most iconic vendor. Subscribe to FOX 13 Seattle: ...,2024-03-14 12:14:49.845096
/watch?v=hj4l0IDLxYE&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@SeattleChannel21,Seattle Channel,Pike Place Market's History,4.8K,2 years,"The story of the Pike Place Market is a work in progress, but the first hundred years are pretty darn interesting. See how the Market ...",2024-03-14 12:14:49.848874
/watch?v=u0Tn4VuswCw&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@TimLeeLetsGo,Tim Lee,Seattle's Pike Place Market | $35 Lobster Prime Rib Buffet,171K,1 year,"Free shipping to: Canada, United States, Australia, New Zealand, Japan, Taiwan, South Korea, and Singapore @Vessi ...",2024-03-14 12:14:49.864110
/watch?v=DwU-y7JfTXI&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@MissMinaOh,Miss Mina,24 HOURS IN SEATTLE 🐟 ft Pike Place Market,986K,4 years,Got 24 hours in Seattle? What is there to eat and do? Today we go on a food marathon in the famous Pike Place Market and ...,2024-03-14 12:14:49.884730
/watch?v=YPaI4EKCr84&pp=ygURcGlrZSBwbGFjZSBtYXJrZXQ%3D,/@DanhLuong,Danh Luong,SEATTLE Pike Place Market | TOP things to do,4.3K,1 year,"[ENGSUB] [VIETSUB] The first video in the ""Where to go in Seattle"" series is about one of Seattle's most famous tourist attractions, ...",2024-03-14 12:14:49.887622
