video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0ZF4xmgIp3c&pp=ygUMc3BhY2UgbmVlZGxl,/@GeekWire,GeekWire,Seattle's Space Needle Opens Revolving Glass Floor 500 Feet in the Air,120K,5 years,"The Space Needle opens the Loupe, a revolving glass floor 500 feet in the air. Read more at: ...",2024-03-14 12:03:51.178294
/watch?v=pe8k6bJKmuE&pp=ygUMc3BhY2UgbmVlZGxl,/@BigRedJourneys,Big Red Journeys,SEATTLE SPACE NEEDLE – FULL TOUR - Seeing Seattle at 600 feet!  Day & Night Views of Seattle,8.8K,7 months,Let's take an elevator up 600 feet into and see Seattle like never before! The world famous and iconic Space Needle is considered ...,2024-03-14 12:03:51.194733
/watch?v=y0hsl8C7kZw&pp=ygUMc3BhY2UgbmVlZGxl,/@JaredOwen,Jared Owen,What's inside the Space Needle?,1.9M,3 years,"Music: (Soundstripe.com) ""Bahama Mama"" by Mikey Geiger ""Happy Snappy"" Love by New Wave Sounds Made with Blender 2.81, ...",2024-03-14 12:03:51.205739
/watch?v=1mTMmJ2lnlM&pp=ygUMc3BhY2UgbmVlZGxl,/@Blippi,Blippi - Educational Videos for Kids,Blippi and Meekah Visit the Space Needle Playground! Educational Videos for Kids,1.3M,11 months,Thanks for watching this Blippi play and learn video with Blippi's songs for toddlers and videos for toddlers. More educational fun ...,2024-03-14 12:03:51.219519
/watch?v=GwEQrCjXuXE&pp=ygUMc3BhY2UgbmVlZGxl,/@4kUrbanLife,4K Urban Life,Space Needle at Night and Seattle Night View - 4K Ultra HD Urban Cityscapes Relaxation Video,134K,5 years,"Seattle is a pride of the Pacific Northwest. It's famous for its unique views, There are tons of tourist attractions and things to do in ...",2024-03-14 12:03:51.228164
/watch?v=EUcVpKfzIRg&pp=ygUMc3BhY2UgbmVlZGxl,/@SmithsonianChannel,Smithsonian Channel,Space Needle Was Designed to Look Very Different,37K,5 years,"While it's hard to imagine Seattle's Space Needle looking any other way, few people know that the iconic 'flying saucer' design ...",2024-03-14 12:04:00.211193
/watch?v=X5MnbpkOQx8&pp=ygUMc3BhY2UgbmVlZGxl,/@Hipfig,Hipfig Travel-Channel,Seattle Space Needle – Helpful Information for Visitors | Seattle Travel Guide Episode #3,61K,3 years,Topics covered in this useful Space Needle travel guide for Seattle tourists are: 1). Seattle Space Needle useful information for the ...,2024-03-14 12:04:00.214813
/watch?v=v87qPjs8L-A&pp=ygUMc3BhY2UgbmVlZGxl,/@DaDailyBread,DaDailyBread,Seattle's Space Needle,82K,11 years,The history of the Seattle Space Needle.,2024-03-14 12:04:00.218461
/watch?v=soCkpY80zGM&pp=ygUMc3BhY2UgbmVlZGxl,/@michigantech,Michigan Technological University,Space-Obsessed Huskies Are on a Mission,218,2 days,I would consider everybody in the lab a friend.” Undergraduate and graduate students working in Michigan Tech's Planetary ...,2024-03-14 12:04:00.233528
/watch?v=3Ow0ET-ob3E&pp=ygUMc3BhY2UgbmVlZGxl,/@KING5Seattle,KING 5 Seattle,Watch: Seattle’s virtual New Year’s at the Needle show welcomes 2021,1.4M,3 years,"The show featured a first-ever virtual display from the Space Needle. The virtual display, which a Seattle-based entrepreneur ...",2024-03-14 12:04:00.236316
/watch?v=zPxVwpwoM2o&pp=ygUMc3BhY2UgbmVlZGxl,/@ActionKid,ActionKid,Riding the Seattle Monorail from the Space Needle to Downtown Seattle,28K,10 months,"The Seattle Monorail is a public transit system which runs as a single elevated train line from the Seattle Center, where the Space ...",2024-03-14 12:04:00.247525
/watch?v=4gHRAnCcn2I&pp=ygUMc3BhY2UgbmVlZGxl,/@KING5Seattle,KING 5 Seattle,The tallest tower in North America dwarfs the Seattle Space Needle - KING 5 Evening,6.9K,4 years,From 14-hundred feet up you can see the curvature of the earth!!,2024-03-14 12:04:00.249851
/watch?v=Zq5g1CJ_-OQ&pp=ygUMc3BhY2UgbmVlZGxl,/@komonews,KOMO News,"Watch: Space Needle lights up with drone, fireworks and light show to ring in 2024",85K,Streamed 2 months,"Happy New Year! T-Mobile's New Year's at the Needle event was a hit to ring in 2024! Watch the epic drone, fireworks, and light ...",2024-03-14 12:04:00.252457
/watch?v=i1RysGYtrXA&pp=ygUMc3BhY2UgbmVlZGxl,/@unofficiallifeafterpeople2178,Unofficial Life After People,Life After People - Space Needle,28K,1 year,"You are watching the fate of Seattle's Space Needle in a Life After People, taken from the episode Waters of Death.",2024-03-14 12:04:00.255781
/watch?v=JSKCcTRGlDk&pp=ygUMc3BhY2UgbmVlZGxl,/@TheDailyWoo,TheDailyWoo,Inside The MoPop & Going Up To Top Of Seattle Space Needle - Museum Of Pop Culture is Incredible,55K,1 year,MoPop Seattle and Space Needle.,2024-03-14 12:04:00.258485
/watch?v=qxdS5uiB3oY&pp=ygUMc3BhY2UgbmVlZGxl,/@spaceneedle,Space Needle,Experience 2 New Level of Thrills at the Space Needle during Your Visit to Seattle,159K,1 year,"Experience two entirely new levels of thrills! From an all-glass floor on the lower level to floor-to-ceiling glass on the upper level, ...",2024-03-14 12:04:00.260967
/watch?v=o4fkFMTpKVE&pp=ygUMc3BhY2UgbmVlZGxl,/@4KNatureandCityWalks,4K Nature and City Walks,"Seattle 6AM Morning Snow Walk, Downtown to Space Needle",2.4M,3 years,Walking in the morning at 6am during snow fall in Seattle from downtown to the Space Needle 0:00 Downtown 16:20 Denny ...,2024-03-14 12:04:00.264598
/watch?v=Rcm7GbrAfxk&pp=ygUMc3BhY2UgbmVlZGxl,/@DroneWorldbelo,Drone World,SPACE NEEDLE AERIAL DRONE FOOTAGE SEATTLE,50K,4 years,"The Space Needle is an observation tower in Seattle, Washington, United States. It is a landmark of the Pacific Northwest and an ...",2024-03-14 12:04:00.266911
/watch?v=FRWDlbDKmsc&pp=ygUMc3BhY2UgbmVlZGxl,/@TravelTouristVideos,TravelTouristVideos,"Space Needle Seattle Tour, Elevator Ride & Views from the Top (HD)",64K,6 years,We visited the Space Needle in Seattle after our Alaska cruise in June. The elevator rides were quick though the operator ...,2024-03-14 12:04:00.269167
/watch?v=XIeCx9bxBBc&pp=ygUMc3BhY2UgbmVlZGxl,/@SharingtheRoad,Sharing the Road,Top 10 Things to Do in Seattle | Seattle Travel Guide,238K,1 year,... Market 1:57 - Seattle Spheres 3:07 - Freemont Troll 4:06 - Gasworks Park 5:22 - Water Taxi to West Seattle 6:19 - Space Needle ...,2024-03-14 12:04:00.273136
/watch?v=WgrkD9EZQRc&pp=ygUMc3BhY2UgbmVlZGxl,/@FloridianElevators,Floridian Elevators,"Space Needle Seattle, WA Queue, Elevator Rides & Observatory Views! (2023)",7.2K,1 year,"Filmed on January 2nd, 2023 with ‎@WestCoastElevators . Here we are at Seattle's Most Iconic Landmark, REVISITED Nearly 7 ...",2024-03-14 12:04:11.468281
/watch?v=iX13rfU27e4&pp=ygUMc3BhY2UgbmVlZGxl,/@yaymoi,Yeimy Cifuentes,"SEATTLE DAY 2 VLOG [space needle, starbucks reserve, tourists era]",13K,9 months,Another Seattle vlog!! The next video is gonna be the LAST Seattle vlog and then my content will go back to my normal vids!,2024-03-14 12:04:11.476560
