video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=gOmiwd2HS_c&pp=ygUJdXcgY2FtcHVz,/@UWVideo,UW Video,University of Washington Campus Tour,463K,11 years,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2024-03-14 12:19:40.853825
/watch?v=HmKKy0zD-uw&pp=ygUJdXcgY2FtcHVz,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,375K,4 years,"CAMPUS CRAWL is the series where I take you to the best college campuses across the world! I'll show you the student life, ...",2024-03-14 12:19:40.859350
/watch?v=klDLZ6mAS1k&pp=ygUJdXcgY2FtcHVz,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,29K,1 year,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2024-03-14 12:19:40.876626
/watch?v=GWy2_kwav6M&pp=ygUJdXcgY2FtcHVz,/@UWContinuingEd,UWContinuingEd,UW Campus,4.4K,4 years,World-class. Innovative. Beautiful. This aerial and on-the-ground tour shows what makes the University of Washington campus in ...,2024-03-14 12:19:40.884842
/watch?v=Y-cn6v6VGj4&pp=ygUJdXcgY2FtcHVz,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,31K,2 years,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2024-03-14 12:19:40.895689
/watch?v=xz4shIjbiu0&pp=ygUJdXcgY2FtcHVz,/@CampusMania,CampusMania,"University of Wisconsin, Madison | UW–Madison | 4K Campus Walking Tour",5.5K,4 months,"A 4K walking tour of University of Wisconsin-Madison campus! The University of Wisconsin–Madison (University of Wisconsin, ...",2024-03-14 12:19:40.912890
/watch?v=sqtnxj0i52Q&pp=ygUJdXcgY2FtcHVz,/@ActionKid,ActionKid,Seattle Walk : University of Washington Campus & U-District in April 2023,17K,10 months,"The University District, often called ""U-District,"" is a neighborhood located in the north-central part of Seattle, Washington. As the ...",2024-03-14 12:19:40.915161
/watch?v=88KYomHYmjc&pp=ygUJdXcgY2FtcHVz,/@UniversityWalkTour,University Walk Tour,University of Washington - Virtual Walking Tour [4k 60fps],14K,1 year,"Walking on the University of Washington main campus during the cherry blossom season. The campus is located in city of Seattle, ...",2024-03-14 12:19:40.925322
/watch?v=OMcXkXn47UQ&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hidden Gems,33K,5 years,"UW campus tour guide Liam shows off some of the best kept secrets on campus for studying, hanging out or quiet reflection.",2024-03-14 12:19:40.949490
/watch?v=dZcM0cT9Nvw&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: West Campus Residence Halls,75K,5 years,"UW campus tour guide Jackie shows off west campus residence hall attractions, including spaces in and around Maple, Alder and ...",2024-03-14 12:19:40.958282
/watch?v=WzJc75S-LzY&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,131K,8 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2024-03-14 12:19:40.984013
/watch?v=Otv034NAG8s&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: IMA,49K,5 years,"The UW's Intramural Activities building is the spot on campus if you're looking for a complete workout, as well as the place for ...",2024-03-14 12:19:40.999553
/watch?v=Xvm6SH8BWBY&pp=ygUJdXcgY2FtcHVz,/@genjster,genjster,UW Seattle campus tour | Cherry Blossoms 🌸 | Seattle Walk 2022 🚶,3.5K,1 year,"In this video, I take you on a campus tour of the University of Washington (UW) campus in Seattle. The UW campus is often ...",2024-03-14 12:19:41.050148
/watch?v=YQ-jjrPPpzU&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: Athletic Events,26K,5 years,"Interested in taking in the action at a Huskies football game? How about women's basketball? Tennis? We cover all that and more, ...",2024-03-14 12:19:41.059899
/watch?v=LUYGuQ1BxRo&pp=ygUJdXcgY2FtcHVz,/@PNW4K,PNW 4K,University District and University of Washington UW Campus Driving Tour in Seattle WA USA 2021,10K,2 years,00:00 Start at U Village 04:20 UW Fraternities and Sororities 06:40 Southbound on University Way 08:30 University Bookstore ...,2024-03-14 12:19:41.087076
/watch?v=Qknwqv_zqtg&pp=ygUJdXcgY2FtcHVz,/@KING5Seattle,KING 5 Seattle,UW campus growth master plan,212,5 years,KING 5's Chris Daniels reports.,2024-03-14 12:19:41.092848
/watch?v=eArtrDFSF24&pp=ygUJdXcgY2FtcHVz,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,38K,3 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2024-03-14 12:19:41.105678
/watch?v=6bvaJCD5YWc&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),University of Washington's top 6 admissions questions answered,4.3K,5 days,"In this video, Paul Seegert, Director of Admissions on the University of Washington's Seattle campus, answers six of the most ...",2024-03-14 12:19:49.398831
/watch?v=D4R-YZ-VZhQ&pp=ygUJdXcgY2FtcHVz,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,143K,5 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2024-03-14 12:19:49.402264
/watch?v=BIWAo4DKyLo&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,4.6K,5 months,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2024-03-14 12:19:49.404076
/watch?v=2rrWXDs6xhc&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW students move in to campus housing,3.4K,1 year,The University of Washington's campus again is bustling as students began moving into residence halls on Tuesday and will ...,2024-03-14 12:19:49.405488
